Date,OpenNestleind,HighNestleind,LowNestleind,CloseNestleind,VolumeNestleind
07-06-2018 07:45,9775.8,9790.25,9767,9782.4,7281
07-06-2018 08:45,9782.65,9785,9764.05,9768.15,7757
07-06-2018 09:45,9767,9839.8,9767,9787.45,5930
08-06-2018 03:45,9760.05,9964.95,9760.05,9941.45,12245
08-06-2018 04:45,9941.45,9941.45,9858.05,9879.6,8341
08-06-2018 05:45,9866.8,9900,9866.25,9873.8,5402
08-06-2018 06:45,9886,9899.95,9830.3,9894.95,8179
08-06-2018 07:45,9900,9900,9870,9875,7212
08-06-2018 08:45,9887.95,9890,9875,9886.95,11278
08-06-2018 09:45,9887,9890,9880.3,9888.85,5482
11-06-2018 03:45,9887.95,10060,9887.95,9965.95,15255
11-06-2018 04:45,9960,9988.55,9901.05,9910,5315
11-06-2018 05:45,9907.05,9944.95,9895,9933.5,3486
11-06-2018 06:45,9930,9935.5,9901.3,9918.95,2084
11-06-2018 07:45,9919.9,9920.5,9890.65,9920.5,3290
11-06-2018 08:45,9925,9930,9902.15,9919.6,8312
11-06-2018 09:45,9912.1,9920.45,9901.2,9916.75,5608
12-06-2018 03:45,9921.1,9945.9,9890,9910.15,4410
12-06-2018 04:45,9910.15,9933.45,9910.15,9921.5,1549
12-06-2018 05:45,9927.1,9936.6,9905,9905,1704
12-06-2018 06:45,9901,9905,9845.05,9849.85,3206
12-06-2018 07:45,9848.1,9850,9822.05,9833,2440
12-06-2018 08:45,9833,9872,9831.05,9836.4,7474
12-06-2018 09:45,9836.2,9838,9822.05,9834.25,6302
13-06-2018 03:45,9807,9848.1,9792.05,9805,4385
13-06-2018 04:45,9803.1,9819,9800.2,9817.2,2866
13-06-2018 05:45,9816.35,9820,9801.3,9808.8,2213
